Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
STIRLING RESIDENCES,"1,001,000",441.32,"2,268",May-21,STIRLING ROAD,New Sale,Strata,41,"24,415",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,26 to 30
STIRLING RESIDENCES,"1,124,000",505.91,"2,222",May-21,STIRLING ROAD,New Sale,Strata,47,"23,915",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,36 to 40
NORMANTON PARK,"1,218,000",667.37,"1,825",May-21,NORMANTON PARK,New Sale,Strata,62,"19,645",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
NORMANTON PARK,"1,218,609",667.37,"1,826",May-21,NORMANTON PARK,New Sale,Strata,62,"19,655",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
NORMANTON PARK,"1,954,000","1,097.93","1,780",May-21,NORMANTON PARK,New Sale,Strata,102,"19,157",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
NORMANTON PARK,"2,820,000","1,614.6","1,747",May-21,NORMANTON PARK,New Sale,Strata,150,"18,800",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
NORMANTON PARK,"1,332,972",731.95,"1,821",May-21,NORMANTON PARK,New Sale,Strata,68,"19,603",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
NORMANTON PARK,"939,000",516.67,"1,817",May-21,NORMANTON PARK,New Sale,Strata,48,"19,563",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
CLAVON,"2,543,000","1,582.31","1,607",May-21,CLEMENTI AVENUE 1,New Sale,Strata,147,"17,299",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,26 to 30
KENT RIDGE HILL RESIDENCES,"1,436,490",742.72,"1,934",May-21,SOUTH BUONA VISTA ROAD,New Sale,Strata,69,"20,819",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
KENT RIDGE HILL RESIDENCES,"1,445,400",742.72,"1,946",May-21,SOUTH BUONA VISTA ROAD,New Sale,Strata,69,"20,948",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
KENT RIDGE HILL RESIDENCES,"1,804,000",947.23,"1,904",May-21,SOUTH BUONA VISTA ROAD,New Sale,Strata,88,"20,500",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
PARC CLEMATIS,"1,460,000",914.94,"1,596",May-21,JALAN LEMPENG,New Sale,Strata,85,"17,176",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
RIVIERE,"2,219,450",818.06,"2,713",May-21,JIAK KIM STREET,New Sale,Strata,76,"29,203",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,11 to 15
WHISTLER GRAND,"1,864,800","1,442.38","1,293",May-21,WEST COAST VALE,New Sale,Strata,134,"13,916",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,01 to 05
WHISTLER GRAND,"1,989,600","1,442.38","1,379",May-21,WEST COAST VALE,New Sale,Strata,134,"14,848",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,21 to 25
AVENUE SOUTH RESIDENCE,"3,187,000","1,496.2","2,130",May-21,SILAT AVENUE,New Sale,Strata,139,"22,928",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,36 to 40
THE LANDMARK,"1,104,000",516.67,"2,137",May-21,CHIN SWEE ROAD,New Sale,Strata,48,"23,000",-,Condominium,1,99 yrs lease commencing from 2020,03,Rest of Central Region,11 to 15
THE REEF AT KING'S DOCK,"1,676,000",721.19,"2,324",May-21,HARBOURFRONT AVENUE,New Sale,Strata,67,"25,015",-,Condominium,1,99 yrs lease commencing from 2021,04,Rest of Central Region,01 to 05
NORMANTON PARK,"1,691,000",936.47,"1,806",May-21,NORMANTON PARK,New Sale,Strata,87,"19,437",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
NORMANTON PARK,"2,398,000","1,313.21","1,826",May-21,NORMANTON PARK,New Sale,Strata,122,"19,656",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
NORMANTON PARK,"1,335,168",731.95,"1,824",May-21,NORMANTON PARK,New Sale,Strata,68,"19,635",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
NORMANTON PARK,"1,322,724",731.95,"1,807",May-21,NORMANTON PARK,New Sale,Strata,68,"19,452",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
NORMANTON PARK,"941,000",527.44,"1,784",May-21,NORMANTON PARK,New Sale,Strata,49,"19,204",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
CLAVON,"2,585,000","1,582.31","1,634",May-21,CLEMENTI AVENUE 1,New Sale,Strata,147,"17,585",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,36 to 40
PARC CLEMATIS,"2,152,000","1,291.68","1,666",May-21,JALAN LEMPENG,New Sale,Strata,120,"17,933",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
PEOPLE'S PARK COMPLEX,"1,050,000","1,173.28",895,Apr-21,PARK ROAD,Resale,Strata,109,"9,633",-,Apartment,1,99 yrs lease commencing from 1968,01,Rest of Central Region,31 to 35
ICON,"1,750,000","1,065.64","1,642",Apr-21,GOPENG STREET,Resale,Strata,99,"17,677",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,36 to 40
WHISTLER GRAND,"1,952,800","1,442.38","1,354",Apr-21,WEST COAST VALE,New Sale,Strata,134,"14,573",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,11 to 15
AVENUE SOUTH RESIDENCE,"1,917,000",947.23,"2,024",Apr-21,SILAT AVENUE,New Sale,Strata,88,"21,784",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,21 to 25
AVENUE SOUTH RESIDENCE,"1,965,000",947.23,"2,074",Apr-21,SILAT AVENUE,New Sale,Strata,88,"22,330",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,26 to 30
THE LANDMARK,"1,495,890",764.24,"1,957",Apr-21,CHIN SWEE ROAD,New Sale,Strata,71,"21,069",-,Condominium,1,99 yrs lease commencing from 2020,03,Rest of Central Region,01 to 05
THE REEF AT KING'S DOCK,"2,915,000","1,076.4","2,708",Apr-21,HARBOURFRONT AVENUE,New Sale,Strata,100,"29,150",-,Condominium,1,99 yrs lease commencing from 2021,04,Rest of Central Region,01 to 05
STIRLING RESIDENCES,"1,381,000",635.08,"2,175",Apr-21,STIRLING ROAD,New Sale,Strata,59,"23,407",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,36 to 40
NORMANTON PARK,"1,165,518",656.6,"1,775",Apr-21,NORMANTON PARK,New Sale,Strata,61,"19,107",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
NORMANTON PARK,"1,680,000",936.47,"1,794",Apr-21,NORMANTON PARK,New Sale,Strata,87,"19,310",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
NORMANTON PARK,"1,196,397",656.6,"1,822",Apr-21,NORMANTON PARK,New Sale,Strata,61,"19,613",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
NORMANTON PARK,"1,329,788",731.95,"1,817",Apr-21,NORMANTON PARK,New Sale,Strata,68,"19,556",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,16 to 20
NORMANTON PARK,"952,000",527.44,"1,805",Apr-21,NORMANTON PARK,New Sale,Strata,49,"19,429",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
THE REEF AT KING'S DOCK,"1,734,000",753.48,"2,301",Apr-21,HARBOURFRONT AVENUE,New Sale,Strata,70,"24,771",-,Condominium,1,99 yrs lease commencing from 2021,04,Rest of Central Region,01 to 05
CLAVON,"1,768,000","1,130.22","1,564",Apr-21,CLEMENTI AVENUE 1,New Sale,Strata,105,"16,838",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
CLAVON,"2,389,000","1,582.31","1,510",Apr-21,CLEMENTI AVENUE 1,New Sale,Strata,147,"16,252",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
KENT RIDGE HILL RESIDENCES,"2,949,000","1,786.82","1,650",Apr-21,SOUTH BUONA VISTA ROAD,New Sale,Strata,166,"17,765",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
CLAVON,"1,998,000","1,280.92","1,560",Apr-21,CLEMENTI AVENUE 1,New Sale,Strata,119,"16,790",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
PARC CLEMATIS,"1,438,000",861.12,"1,670",Apr-21,JALAN LEMPENG,New Sale,Strata,80,"17,975",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
ECHELON,"1,420,000",731.95,"1,940",Apr-21,ALEXANDRA VIEW,Resale,Strata,68,"20,882",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,31 to 35
THE SAIL @ MARINA BAY,"2,160,000","1,184.04","1,824",Apr-21,MARINA BOULEVARD,Resale,Strata,110,"19,636",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,16 to 20
EMERALD GARDEN,"1,950,000",947.23,"2,059",Apr-21,CLUB STREET,Resale,Strata,88,"22,159",-,Condominium,1,999 yrs lease commencing from 1827,01,Rest of Central Region,06 to 10
PARC RIVIERA,"840,000",602.78,"1,394",Apr-21,WEST COAST VALE,Resale,Strata,56,"15,000",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,11 to 15
THE PARC CONDOMINIUM,"2,150,000","1,420.85","1,513",Apr-21,WEST COAST WALK,Resale,Strata,132,"16,288",-,Condominium,1,Freehold,05,Outside Central Region,06 to 10
BOTANNIA,"1,718,000","1,345.5","1,277",Apr-21,WEST COAST PARK,Resale,Strata,125,"13,744",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
V ON SHENTON,"1,900,000","1,054.87","1,801",Apr-21,SHENTON WAY,Resale,Strata,98,"19,388",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,16 to 20
THE FORESTA @ MOUNT FABER,"850,000",430.56,"1,974",Apr-21,WISHART ROAD,Resale,Strata,40,"21,250",-,Condominium,1,Freehold,04,Rest of Central Region,01 to 05
THE FORESTA @ MOUNT FABER,"835,000",430.56,"1,939",Apr-21,WISHART ROAD,Resale,Strata,40,"20,875",-,Condominium,1,Freehold,04,Rest of Central Region,01 to 05
ONE-NORTH RESIDENCES,"860,000",592.02,"1,453",Apr-21,ONE-NORTH GATEWAY,Resale,Strata,55,"15,636",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,06 to 10
REFLECTIONS AT KEPPEL BAY,"1,830,000","1,130.22","1,619",Apr-21,KEPPEL BAY VIEW,Resale,Strata,105,"17,429",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,01 to 05
THE VISION,"1,240,000",904.18,"1,371",Apr-21,WEST COAST CRESCENT,Resale,Strata,84,"14,762",-,Condominium,1,99 yrs lease commencing from 2008,05,Outside Central Region,11 to 15
ONE-NORTH EDEN,"1,108,000",516.67,"2,144",Apr-21,SLIM BARRACKS RISE,New Sale,Strata,48,"23,083",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
AVENUE SOUTH RESIDENCE,"1,190,000",527.44,"2,256",Apr-21,SILAT AVENUE,New Sale,Strata,49,"24,286",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,46 to 50
AVENUE SOUTH RESIDENCE,"1,759,000",721.19,"2,439",Apr-21,SILAT AVENUE,New Sale,Strata,67,"26,254",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,46 to 50
AVENUE SOUTH RESIDENCE,"2,058,000",947.23,"2,173",Apr-21,SILAT AVENUE,New Sale,Strata,88,"23,386",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,46 to 50
ENG HOON MANSIONS,"1,540,000","1,184.04","1,301",Apr-21,ENG HOON STREET,Resale,Strata,110,"14,000",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
THE LANDMARK,"1,093,950",495.14,"2,209",Apr-21,CHIN SWEE ROAD,New Sale,Strata,46,"23,782",-,Condominium,1,99 yrs lease commencing from 2020,03,Rest of Central Region,16 to 20
STIRLING RESIDENCES,"1,420,000",688.9,"2,061",Apr-21,STIRLING ROAD,New Sale,Strata,64,"22,188",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,31 to 35
STIRLING RESIDENCES,"1,375,000",635.08,"2,165",Apr-21,STIRLING ROAD,New Sale,Strata,59,"23,305",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,36 to 40
COMMONWEALTH TOWERS,"1,680,000",904.18,"1,858",Apr-21,COMMONWEALTH AVENUE,Resale,Strata,84,"20,000",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,06 to 10
THE OCEANFRONT @ SENTOSA COVE,"2,075,000","1,216.33","1,706",Apr-21,OCEAN DRIVE,Resale,Strata,113,"18,363",-,Condominium,1,99 yrs lease commencing from 2005,04,Core Central Region,06 to 10
RIVIERE,"3,222,400","1,216.33","2,649",Apr-21,JIAK KIM STREET,New Sale,Strata,113,"28,517",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,06 to 10
THE M,"1,662,000",592.02,"2,807",Apr-21,MIDDLE ROAD,New Sale,Strata,55,"30,218",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,16 to 20
NORMANTON PARK,"1,325,198",721.19,"1,838",Apr-21,NORMANTON PARK,New Sale,Strata,67,"19,779",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
CLAVON,"2,065,000","1,356.26","1,523",Apr-21,CLEMENTI AVENUE 1,New Sale,Strata,126,"16,389",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
ONE-NORTH EDEN,"1,596,000",785.77,"2,031",Apr-21,SLIM BARRACKS RISE,New Sale,Strata,73,"21,863",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
ONE-NORTH EDEN,"2,552,900","1,410.08","1,810",Apr-21,SLIM BARRACKS RISE,New Sale,Strata,131,"19,488",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
THE METROPOLITAN CONDOMINIUM,"1,950,000","1,399.32","1,394",Apr-21,ALEXANDRA VIEW,Resale,Strata,130,"15,000",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,21 to 25
CLAVON,"1,869,000","1,130.22","1,654",Apr-21,CLEMENTI AVENUE 1,New Sale,Strata,105,"17,800",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,31 to 35
PARC CLEMATIS,"1,142,000",688.9,"1,658",Apr-21,JALAN LEMPENG,New Sale,Strata,64,"17,844",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
PARC CLEMATIS,"1,226,000",688.9,"1,780",Apr-21,JALAN LEMPENG,New Sale,Strata,64,"19,156",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
PARC CLEMATIS,"1,219,000",688.9,"1,769",Apr-21,JALAN LEMPENG,New Sale,Strata,64,"19,047",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
PARC CLEMATIS,"1,435,000",861.12,"1,666",Apr-21,JALAN LEMPENG,New Sale,Strata,80,"17,938",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
TWIN VEW,"2,087,000","1,377.79","1,515",Apr-21,WEST COAST VALE,New Sale,Strata,128,"16,305",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,26 to 30
TWIN VEW,"2,117,000","1,377.79","1,537",Apr-21,WEST COAST VALE,New Sale,Strata,128,"16,539",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,31 to 35
TWIN VEW,"2,125,000","1,377.79","1,542",Apr-21,WEST COAST VALE,New Sale,Strata,128,"16,602",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,31 to 35
CARIBBEAN AT KEPPEL BAY,"2,200,000","1,334.74","1,648",Apr-21,KEPPEL BAY DRIVE,Resale,Strata,124,"17,742",-,Condominium,1,99 yrs lease commencing from 1999,04,Rest of Central Region,01 to 05
DUO RESIDENCES,"1,900,000",818.06,"2,323",Apr-21,FRASER STREET,Resale,Strata,76,"25,000",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,26 to 30
LUXE VILLE,"1,670,000","1,356.26","1,231",Apr-21,PASIR PANJANG ROAD,Resale,Strata,126,"13,254",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
THE PEARL @ MOUNT FABER,"1,680,000","1,388.56","1,210",Apr-21,MOUNT FABER ROAD,Resale,Strata,129,"13,023",-,Condominium,1,99 yrs lease commencing from 2002,04,Rest of Central Region,01 to 05
RIVIERE,"2,300,000",818.06,"2,812",Apr-21,JIAK KIM STREET,New Sale,Strata,76,"30,263",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,21 to 25
AVENUE SOUTH RESIDENCE,"1,622,000",731.95,"2,216",Apr-21,SILAT AVENUE,New Sale,Strata,68,"23,853",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,46 to 50
MIDTOWN MODERN,"2,784,870","1,065.64","2,613",Apr-21,TAN QUEE LAN STREET,New Sale,Strata,99,"28,130",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,16 to 20
STIRLING RESIDENCES,"1,435,000",871.88,"1,646",Apr-21,STIRLING ROAD,New Sale,Strata,81,"17,716",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,36 to 40
NORMANTON PARK,"1,434,426",861.12,"1,666",Apr-21,NORMANTON PARK,New Sale,Strata,80,"17,930",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,21 to 25
NORMANTON PARK,"1,060,000",581.26,"1,824",Apr-21,NORMANTON PARK,New Sale,Strata,54,"19,630",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
CLAVON,"1,653,000",958,"1,725",Apr-21,CLEMENTI AVENUE 1,New Sale,Strata,89,"18,573",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,31 to 35
PARC CLEMATIS,"2,630,000","1,668.42","1,576",Apr-21,JALAN LEMPENG,New Sale,Strata,155,"16,968",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,21 to 25
TWIN VEW,"2,102,000","1,377.79","1,526",Apr-21,WEST COAST VALE,New Sale,Strata,128,"16,422",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,31 to 35
SPOTTISWOODE SUITES,"1,238,000",581.26,"2,130",Apr-21,SPOTTISWOODE PARK ROAD,Resale,Strata,54,"22,926",-,Apartment,1,Freehold,02,Rest of Central Region,16 to 20
ONE SHENTON,"2,500,000","1,593.07","1,569",Apr-21,SHENTON WAY,Resale,Strata,148,"16,892",-,Apartment,1,99 yrs lease commencing from 2005,01,Core Central Region,36 to 40
CONCOURSE SKYLINE,"4,701,650","2,152.8","2,184",Apr-21,BEACH ROAD,Resale,Strata,200,"23,508",-,Apartment,1,99 yrs lease commencing from 2008,07,Core Central Region,26 to 30
REFLECTIONS AT KEPPEL BAY,"2,130,000","1,506.96","1,413",Apr-21,KEPPEL BAY VIEW,Resale,Strata,140,"15,214",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,01 to 05
ICON,"1,100,000",656.6,"1,675",Apr-21,GOPENG STREET,Resale,Strata,61,"18,033",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,21 to 25
MURANO,"1,600,000","1,550.02","1,032",Apr-21,PASIR PANJANG ROAD,Resale,Strata,144,"11,111",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
